cols,importance,model_name,model_target
store_필문대로점,0.0006272827030174035,RandomForest,y_weekday
store_목공동로점,0.0006271683512764735,RandomForest,y_weekday
store_안양천로2점,0.0006270421510421523,RandomForest,y_weekday
store_남천동로점,0.0006267203843194233,RandomForest,y_weekday
store_상무공원로점,0.0006205977837915086,RandomForest,y_weekday
store_학동로점,0.0006199159685932063,RandomForest,y_weekday
store_복수서로점,0.0006167745928769915,RandomForest,y_weekday
store_관저동로점,0.0006158549124031124,RandomForest,y_weekday
store_마들로점,0.0006139137623557153,RandomForest,y_weekday
store_영통구점,0.0006128599198306881,RandomForest,y_weekday
store_연희로2점,0.0006124115968847966,RandomForest,y_weekday
store_학감대로점,0.0006119702958014154,RandomForest,y_weekday
store_신갈마로점,0.0006086410422556391,RandomForest,y_weekday
store_엑스포로점,0.0006027339326272834,RandomForest,y_weekday
store_덕수궁길2점,0.0005954545973474765,RandomForest,y_weekday
store_비아로점,0.0005951281221489442,RandomForest,y_weekday
store_월계로2점,0.0005932404514386773,RandomForest,y_weekday
store_효덕로점,0.0005918678535543698,RandomForest,y_weekday
store_태종로점,0.0005889803020342622,RandomForest,y_weekday
store_장승배기로2점,0.0005869414637914334,RandomForest,y_weekday
store_일산동구점,0.0005858400164378759,RandomForest,y_weekday
store_올림픽로2점,0.0005834033303818602,RandomForest,y_weekday
store_명지동점,0.0005823465898599661,RandomForest,y_weekday
store_서소문로2점,0.0005802124804234423,RandomForest,y_weekday
store_학동로2점,0.0005755753102622932,RandomForest,y_weekday
store_녹사평대로2점,0.0005710161787013786,RandomForest,y_weekday
store_서남로점,0.0005695710105359524,RandomForest,y_weekday
store_올림픽로점,0.0005694836109464653,RandomForest,y_weekday
store_당산로점,0.0005690844768720424,RandomForest,y_weekday
store_가마산로2점,0.0005684050976237023,RandomForest,y_weekday
store_하신번영로점,0.000567985848881677,RandomForest,y_weekday
store_강남대로점,0.00056431119988969,RandomForest,y_weekday
store_자양로점,0.0005598503641277166,RandomForest,y_weekday
store_둔산중로점,0.0005559273503702869,RandomForest,y_weekday
store_용아로점,0.0005545367071608561,RandomForest,y_weekday
store_구청로점,0.0005457580271473017,RandomForest,y_weekday
store_녹사평대로점,0.0005436621182843997,RandomForest,y_weekday
store_서초중앙로점,0.0005426319499175043,RandomForest,y_weekday
store_은평로점,0.0005425621134160188,RandomForest,y_weekday
store_마린시티1로점,0.0005412734100360156,RandomForest,y_weekday
store_효원로점,0.0005365150423308047,RandomForest,y_weekday
store_금화로점,0.0005307620844261684,RandomForest,y_weekday
store_고산자로점,0.0005273532109239568,RandomForest,y_weekday
store_광산로점,0.0005272704995183071,RandomForest,y_weekday
store_덕수궁길점,0.0005243855348512383,RandomForest,y_weekday
store_월계로점,0.0005229172563433028,RandomForest,y_weekday
store_둔산로점,0.0005162631105520138,RandomForest,y_weekday
store_계족로점,0.0005091759728074746,RandomForest,y_weekday
store_명지새동네길점,0.0005038875163503116,RandomForest,y_weekday
store_어등대로점,0.0005036939227894766,RandomForest,y_weekday
store_청사포로점,0.0005019461110117875,RandomForest,y_weekday
store_송정공원로점,0.0005014341044640662,RandomForest,y_weekday
store_삼봉로점,0.0004988908061880758,RandomForest,y_weekday
store_당산로2점,0.000493410121199488,RandomForest,y_weekday
store_월드컵대로2점,0.0004820910974875299,RandomForest,y_weekday
store_종로점,0.0004800602557754021,RandomForest,y_weekday
store_분포로점,0.00047989958720046777,RandomForest,y_weekday
store_안양천로점,0.0004775057155177406,RandomForest,y_weekday
store_해운대로점,0.0004717362521400609,RandomForest,y_weekday
store_경열로점,0.0004681574319768174,RandomForest,y_weekday
store_관악로점,0.0004664824372477886,RandomForest,y_weekday
store_북유성대로점,0.0004651963069033513,RandomForest,y_weekday
store_성남대로점,0.00045796080089500926,RandomForest,y_weekday
store_세종로점,0.00045596613653983654,RandomForest,y_weekday
store_재반로점,0.000455729835317341,RandomForest,y_weekday
store_대흥로점,0.0004555001068724903,RandomForest,y_weekday
store_사직로2점,0.00045525828343458445,RandomForest,y_weekday
store_절재로점,0.00045252485716743246,RandomForest,y_weekday
store_서하로점,0.00044998227380237734,RandomForest,y_weekday
store_천호대로2점,0.0004436566073358499,RandomForest,y_weekday
store_성산동점,0.0004405728435004199,RandomForest,y_weekday
store_내방로점,0.00044043470539060906,RandomForest,y_weekday
store_장승배기로점,0.0004365456790884869,RandomForest,y_weekday
store_중동2로점,0.000430275412680357,RandomForest,y_weekday
store_낙동대로2점,0.00042331178328653725,RandomForest,y_weekday
store_노해로2점,0.0004203010114960024,RandomForest,y_weekday
store_성산동2점,0.0004182982212124213,RandomForest,y_weekday
store_서소문로점,0.00041626401789885965,RandomForest,y_weekday
store_방죽로점,0.0004142324751779871,RandomForest,y_weekday
store_강남대로2점,0.0004138527757825836,RandomForest,y_weekday
store_송정해변로점,0.0004118604082715787,RandomForest,y_weekday
store_둔산서로점,0.00041115154890861594,RandomForest,y_weekday
store_남동남로점,0.0004008980434295444,RandomForest,y_weekday
store_삼봉로2점,0.0003947478237537072,RandomForest,y_weekday
store_덕남길점,0.000390107901286098,RandomForest,y_weekday
store_무교로점,0.0003884375389767078,RandomForest,y_weekday
store_월드컵로점,0.000384960770278249,RandomForest,y_weekday
store_청계청로2점,0.0003847230027909786,RandomForest,y_weekday
store_배재로점,0.0003829612249021478,RandomForest,y_weekday
store_구덕로점,0.00037990872027692646,RandomForest,y_weekday
store_은평로2점,0.00037560741586831827,RandomForest,y_weekday
store_무교로2점,0.0003750128555248306,RandomForest,y_weekday
store_성내로점,0.0003720821875871432,RandomForest,y_weekday
store_기장대로점,0.0003601556572510436,RandomForest,y_weekday
store_창경궁로2점,0.00035884938406955926,RandomForest,y_weekday
store_온천천로점,0.00035450012190458636,RandomForest,y_weekday
store_대둔산로점,0.0003494866217643117,RandomForest,y_weekday
store_국제금융로2점,0.0003386435115920523,RandomForest,y_weekday
store_연제로점,0.00033685232978323404,RandomForest,y_weekday
store_용운동점,0.0003119992502451713,RandomForest,y_weekday
store_중구로점,0.00030884177916403626,RandomForest,y_weekday
